First Name,Last Name,Designation,Company,Country
Hassan,Abdou,Non-Executive Director,Orascom Investment Holding; Orascom Financial Holding; La Mancha Services,Egypt
Helmy,Abouleish,Chair of the Board & Managing Director,SEKEM Group,Egypt
Shahinaz,Ahmed,Country Director (since 2013),AMIDEAST Egypt,Egypt
A. Galil Abdulhak,Besher,non-executive Chairman,Coca-Cola Egypt,Egypt
Tamer,El Mahdi,Founder and CEO,"Trading Globe, Ltd",Egypt
Yasser,El-Mallawany,Vice Chairman of the Board,EFG Hermes Holding / EFG Holding S.A.E.,Egypt
Shafik and Gigi,Gabr,Chairman and foundeR,ARTOC Group for Investment and Development,Egypt
Sherif M. R.,Hashem,Senior Cyber Security Advisor,Minister of Communications and Information Technology,Egypt
Mohamed,Mansour,Chairman; Founder & Chairman (Man Capital),Mansour Group / Man Capital,Egypt
Youssef,Mansour,Chairman (consumer products & distribution),Mansour Group,Egypt
Yasseen,Mansour,Chairman; Board Member / Co-owner,Palm Hills Developments / Mansour Group,Egypt
Amr,Moussa,Former Minister of Foreign Affairs of Egypt,,Egypt
Nassef,Sawiris,Executive Chairman (OCI N.V.); Chairman (Orascom Construction); Co-owner & Chairman (Aston Villa),OCI N.V. / Orascom Construction PLC / Aston Villa (NSWE),Egypt
Naguib and Onsi ,Sawiris,Chairman; Chairman (gold-mining investment company),Orascom Investment Holding / La Mancha Holding,Egypt
Sherif,Zarkani,Director (Airline Executive),ZAS Airline of Egypt,Egypt
Shahid,Khan,Owner & Executive Chairman,Flex-N-Gate; Jacksonville Jaguars (NFL); Fulham FC (EPL),Pakistan
Mian Muhammad,Mansha,Chairman,Nishat Group; MCB Bank; DG Khan Cement; Adamjee Insurance,Pakistan
Anwar,Pervez,Founder & Chairman,Bestway Group (UK & Pakistan),Pakistan
Majjid,Bashir,Chairman & Senior Partner,"ACM Group (legal, business advisory)",Pakistan
Anwar Saifullah,Khan,Businessman; Ex-Federal Minister,Saif Group; former Pakistani politician (PPP/PML-Q),Pakistan
Jahangir,Siddiqui,Founder & Chairman,JS Group; JS Bank,Pakistan
Noor Alam,Khan,Member of National Assembly; Politician,National Assembly of Pakistan (politics),Pakistan
Shahid,Ahmad,Director,Anis Ahmed & Bros. Pvt Ltd.,Pakistan
Ikram Ul-Majeed,Sehgal,Chairman, Pathfinder Group,Pakistan
Hussain,Dawood,Chairman,Dawood Hercules Corporation and Engro Corporation,Pakistan
Malala,Yousafzai,Cofounder,Malala Fund,Pakistan
Sadruddin,Hashwani,Chairman ,Hashoo Group,Pakistan
Morris,Chang,Founder & Emeritus Chairman,TSMC (Taiwan Semiconductor Manufacturing Co.),Taiwan
Richard,Chang,Founder & Former CEO,Semiconductor Manufacturing International Corporation (SMIC),Taiwan
Lin,Chang Su-O,Co-Founder,Chang Chun Group,Taiwan
Pierre,Chen,Founder & Chairman,Yageo Corporation,Taiwan
Samuel,Chen,Founder & Chairman,Compal Electronics,Taiwan
Tony,Chen,Co-Founder & Chairman,MediaTek,Taiwan
Lin,Chen-hai,Founder & Chairman,Changhua-based property and finance holdings,Taiwan
Bruce,Cheng,Founder & Honorary Chairman,Delta Electronics,Taiwan
Tsai,Cheng-ta,Director / Stakeholder,Cathay Financial Holdings,Taiwan
Tsai,Chi-jui,Chairman,Shinkong Synthetic Fibers Corporation,Taiwan
Danny,Chiu,Chairman and CEO,Morrison Express Corp. Ltd.,Taiwan
Wang,Chou-hsiong,Founder & Honorary Chairman,Hotai Motor (Toyota distributor in Taiwan),Taiwan
David,Chu,Founder,Nautica,Taiwan
Chao,Chung-Hsin,Vice Chairman,Inventec,Taiwan
Chang,Chung-Hsing,Chairman,ASE Group (Advanced Semiconductor Engineering),Taiwan
Wu,Chung-yi,Vice Chairman,Pou Chen Group,Taiwan
Zhang,Congyuan,Founder & Chairman,Huali Industrial Group,Taiwan
Tsai,Eng-meng,Chairman & CEO,Want Want China Holdings,Taiwan
Terry,Gou,Founder (former Chairman),Hon Hai Precision Industry (Foxconn),Taiwan
Tsai,Hong-tu,Chairman,Cathay Financial Holdings,Taiwan
Douglas,Hsu,Chairman & CEO,Far Eastern Group,Taiwan
Wei,Ing-Chou,Co-Founder & Chairman,Ting Hsin International Group,Taiwan
Chin,Jong Hwa,Founder & Chairman,Minth Group,Taiwan
Cho,Jyh-jer,Chairman,Standard Foods / Wei Chuan Foods,Taiwan
Shirley,Kao,Major Shareholder / Family Representative,Uni-President Enterprises (family stakeholder),Taiwan
Andre,Koo,"Investor, Founder of K8 Capital",Koo Family Holdings / K8 Capital,Taiwan
Angelo,Koo,Chairman,CTBC Financial Holding,Taiwan
Jeffrey,"Koo, Jr.","Former Vice Chairman, Family Investor",CTBC Financial Holding,Taiwan
Chang,Kuo-Hua,Director / Family Stakeholder,Evergreen Group,Taiwan
Yeh,Kuo-I,Co-Founder & Honorary Chairman,Ruentex Group,Taiwan
Chang,Kuo-Ming,Director / Family Stakeholder,Evergreen Group,Taiwan
Chang,Kuo-Wei,Founder & Chairman,Starlux Airlines,Taiwan
Barry,Lam,Founder & Chairman,Quanta Computer,Taiwan
Kai-Fu,Lee,Former President,Google China,Taiwan
C.C.,Leung,Co-Founder & Vice Chairman,Delta Electronics,Taiwan
Charles,Lin,General Director,Taiwan Glass Group,Taiwan
Scott,Lin,Co-Founder & Honorary Chairman,Acer Group,Taiwan
K.C.,Liu,Founder & Chairman,Advantech,Taiwan
Lin,Ming-hsiung,Founder & Chairman,PX Mart (Taiwan Fresh Supermarket Chain),Taiwan
Tsai,Ming-kai,Chairman,MediaTek,Taiwan
Sagar,Pagare,Director of Product Management,Coupang,Taiwan
Wang,Shih-Chung,Senior Executive / Board Member,Formosa Plastics Group,Taiwan
Lin,Shu-hong,Founder & Chairman,Chang Chun Group,Taiwan
Chen,Tei-fu,Founder & Chairman,Sunrider International,Taiwan
Chao,Teng-hsiung,Founder & Chairman,Farglory Group,Taiwan
Tsao,Ter-fung,Major Shareholder,Fubon Financial Holding (family stakeholder),Taiwan
Chris,Traub,Co-Founder and Managing Partner,Strategic Executive Search (SES Group),Taiwan
Joe,Tsai,Cofounder,Alibaba Group,Taiwan
Joseph,Tsai,Vice Chairman,Cathay United Bank,Taiwan
Richard,Tsai,Co-Chairman,Fubon Financial Holding,Taiwan
Daniel,Tsai,Co-Chairman,Fubon Financial Holding,Taiwan
T.Y.,Tsai,Shareholder & Family Investor,Cathay Life Insurance / Cathay Financial family,Taiwan
F.C.,Tseng,"Vice Chairman (retired, Honorary role)",TSMC (Taiwan Semiconductor Manufacturing Co.),Taiwan
Xie,Weitong,Co-Founder & Director,Hengan International,Taiwan
Thomas,Wu,Chairman,Taishin Financial Holdings,Taiwan
Eugene,Wu,Chairman,Shin Kong Financial Holding,Taiwan
Samuel,Yin,Chairman,Ruentex Group,Taiwan
Wei,Yin-Chun,Co-Founder,Ting Hsin International Group,Taiwan
Wei,Yin-Heng,Co-Founder,Ting Hsin International Group,Taiwan
Wei,Ying-Chiao,Co-Founder,Ting Hsin International Group,Taiwan
Chen,Yung-tai,Chairman,Shin Kong Group,Taiwan
Chao,Yung-Tsang,Co-Founder & Honorary Chairman,Inventec,Taiwan
Imran,Ahmadzada,Chief Financial Officer,NEQSOL Holding,Azerbaijan
Leyla,Aliyeva,Member,Aliyev dynasty in Azerbaijan,Azerbaijan
Ulvi,Baghirov,Deputy CEO and Chief Investment Officer,PASHA Investments,Azerbaijan
Artyom,Hasanov,CEO,NEQSOL HOLDING,Azerbaijan
Nasib,Hasanov,,NEQSOL Holding,Azerbaijan
Rauf,Huseynov,Chief of Staff,Mine Action Agency of the Republic of Azerbaijan - ANAMA,Azerbaijan
Elshad,Nassirov,VP,State Oil Company of the Republic of Azerbaijan (SOCAR),Azerbaijan
Mir Jamal,Pashayev,"Deputy Chairman, Board of Directors",PASHA Holding,Azerbaijan
Anar,Rahmanov,CEO,PTG (Prime Travel Group),Azerbaijan
Yassir,Mouakher,Director,DURO FELGUERA Energy SA,Algeria
Issad,Rebrab & family,Former CEO,Cevital,Algeria
Eduardo,Hochschild,Chairman,Hochschild Group,Peru
Greg,Mitchel,Head of Finance,Datamart,Peru
