First Name,Last Name,Designation,Company,Country
Jae-Won,Chey,Vice Chairman & CEO,SK Holdings,South Korea
Song,Chi-hyung,Founder & Chairman,Dunamu (Upbit),South Korea
Younghoon,David Kim,CEO,Daesung Group,South Korea
Kwak,Dong Shin,"Senior Executive (family member, shareholder)",Hansol Group (affiliated),South Korea
Shin,Dong-joo,Former Vice Chairman; runs SDJ Corporation,Lotte Holdings Japan,South Korea
Park,Dong-suk,Vice Chairman,Celltrion Group,South Korea
Chung,Euisun,Executive Chair,Hyundai Motor Group,South Korea
Lee,Hae-jin,Founder & Global Investment Officer,Naver Corporation,South Korea
Lee,Ho-jin,Former Chairman (family still holds control),Taekwang Group,South Korea
Park,Hyeon-joo,Founder & Chairman,Mirae Asset Group,South Korea
Kwon,Hyuk-bin,Founder & Chief Visionary Officer,Smilegate Holdings,South Korea
Cho,Hyun-joon,Chairman,Hyosung Group,South Korea
Lee,Jay Y.,Executive Chairman,Samsung Electronics,South Korea
Lee,Jay-hyun,Chairman,CJ Group,South Korea
Kang,Julie,Senior Portfolio Manager,National Pension Service Investment Management,South Korea
Kim,Jun-ki,Former Chairman (stepped down; family still associated with group),Dongbu Group (DB Group),South Korea
Cho,Jung-ho,Chairman,Meritz Financial Group,South Korea
Yoo,Jung-hyun,Major Shareholder,Nexon (NXC Corp),South Korea
Seo,Jung-jin,Founder & Honorary Chairman (former Co-Chairman & CEO),Celltrion,South Korea
Kim,Jung-min,Co-Heir / Major Shareholder,Nexon (NXC Corp),South Korea
Kim,Jung-youn,Co-Heir / Major Shareholder,Nexon (NXC Corp),South Korea
Ramakrishna,Kilaparti,Head of Strategy,GREEN CLIMATE FUND,South Korea
Kwang-mo,Koo,Chairman & Chief Executive,LG,South Korea
Yoon,Kwan,General Partner,BlueRunVentures,South Korea
Koo,Kwang-mo,Chairman & CEO,LG Corp.,South Korea
Suh,Kyung-bae,Chairman & CEO,AmorePacific Group,South Korea
Seo-hyun,Lee,Overseer,Samsung Welfare Foundation,South Korea
Lee,Mie Kyung,Vice Chairwoman,CJ Group,South Korea
Chung,Mong-joon,Honorary Vice Chairman; Chairman of Asan Foundation,Hyundai Heavy Industries / Asan Foundation,South Korea
Chung,Mong-Koo,Honorary Chairman (former Chairman),Hyundai Motor Group,South Korea
Chang,Pyung-soon,Senior Executive / Co-Founder,Celltrion Group,South Korea
Hong,Ra-hee,"Director (former Director of Leeum, Samsung Museum of Art)",Samsung Foundation of Culture,South Korea
Lee,Sang-Yoon,Chairman & CEO,Locus Chain Foundation,South Korea
Lee,Seo-hyun,"Chairwoman, Samsung Welfare Foundation; Executive at Samsung C&T (fashion division)",Samsung C&T / Samsung Welfare Foundation,South Korea
Hong,Seok-joh,Chairman & CEO,BGF Retail (CU convenience stores),South Korea
Lee,Seung-gun,Founder & CEO,Viva Republica (Toss),South Korea
Bang,Si-hyuk,Founder & Chairman,HYBE Corporation,South Korea
Park,Soon-jae,Vice Chairman,Celltrion Holdings,South Korea
Lee,Su-jin,Founder & CEO,Yanolja,South Korea
Kim,Sung-Joo,"Founder, Chairwoman & Chief Visionary Officer",Sungjoo Group / MCM Holding AG,South Korea
Chey,Tae-won,Chairman,SK Group,South Korea
Kim,Taek-jin,Founder & CEO,NCSoft,South Korea
Chung,Tong Soo,Chairman,Blue Terra Capital,South Korea
Chung,Yong-ji,"Senior Executive (family member, leadership role)",Doosan Group,South Korea
Chung,Yong-jin,Chairman,Shinsegae Group,South Korea
Linh,Thai,Founder and CEO,Rita Phil,Veitnam
Vinh-Tuan,Ngo,MD - Head of Investment Banking,Viet Capital Securities,Veitnam
Khoi,Louis,Deputy CEO,Vietnam Prosperity Bank,Veitnam
Hung ,Nguyen,Founder,Sovico Holdings,Vietnam
Khoi,Phu Pham,Deputy CEO,Vietnam Prosperity Bank,Vietnam
Steve,Reid,Co-Founder & CFO,Glass Egg,Vietnam
Tai,Le,Managing Director,Merita Capital,Vietnam
Pham Nhat,Vuong,Founder & Chairman,Vingroup / VinFast,Vietnam
Nguyen Thi Phuong,Thao,President & CEO / Chairwoman,VietJet Air / Sovico Group / HDBank,Vietnam
Tran Dinh,Long,Chairman,Hòa Phát Group,Vietnam
Ho Hung,Anh,Chairman of the Board of Directors,Techcombank,Vietnam
Nguyen Dang,Quang,Co-Founder & Chairman,Masan Group,Vietnam
William & Mina,Hanbury-Tenison,Owner,www.fineartagent.com,Vietnam
Manuel,Villar,Chairman of the Board,"Vista Land & Lifescapes, Inc.",Philippines
Enrique,Razon Jr.,Chairman & President,"International Container Terminal Services, Inc. (ICTSI)",Philippines
Ramon,Ang,Chairman & Chief Executive Officer,San Miguel Corporation (SMC),Philippines
Lucio,Tan,Founder & Chairman,"LT Group, Inc.",Philippines
Henry,"Sy, Jr.",Chairman of the Board,"SM Prime Holdings, Inc.",Philippines
Hans,Sy,Executive Committee Chairman,"SM Prime Holdings, Inc.",Philippines
Herbert,Sy,Adviser to the Board,SM Investments Corporation (SMIC),Philippines
Harley,Sy,Executive Director,SM Investments Corporation (SMIC),Philippines
Teresita,Sy-Coson,Chairperson of the Board,"BDO Unibank, Inc.",Philippines
Elizabeth,Sy,President & Chair,SM Hotels and Conventions Corp. (SMHCC),Philippines
Andrew,Tan,Chairman,"Alliance Global Group, Inc. (AGI)",Philippines
Lucio,Co,Chairman,"Cosco Capital, Inc.",Philippines
Susan,Co,Chairperson,"Puregold Price Club, Inc.",Philippines
Tony Tan,Caktiong,Executive Chairman & Founder,Jollibee Foods Corporation (JFC),Philippines
Eusebio,Tanco,Chairman of the Board,"STI Education Systems Holdings, Inc.",Philippines
George M,Drysdale,Chairman and CEO,Marsman Drysdale Group,Philippines
Jaime Augusto,Zobel de Ayala,Chairman,Ayala Corporation,Philippines
Lawrence,Leonio,Board Director,LeonioLand,Philippines
Sheila Lirio,Marcelo,CEO,Ohai.ai,Philippines
Bernard,Vincent O. Dy’s,Chairman,Emerging City Holdings (Retired from Ayala),Philippines
Roberto,Angelini Rossi,Chairman,Empresas Copec S.A. / AntarChile S.A.,Chile
Patricia,Angelini Rossi,Fundación Angelini,President,Chile
Ricardo,Ariztía de Castro,President,Sociedad Nacionalc,Chile
Augusto,Clément,CEO and Founder,Sumatoid,Chile
Antonio,Cruz,Founding Partner,Moneda Asset Management,Chile
Claudio,Engel,General Director,F.H.Engel S.A.,Chile
